Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
DSDP607,98.7,2.334,1.32,1.81,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
ODP0757,14.4,2.339,2.13,2.7,Cibicidoides wuellerstorfi,1621,BillupsSchrag03
ODP0757,14.4,2.339,2.09,2.64,Cibicidoides wuellerstorfi,1621,BillupsSchrag03
DSDP607,99,2.341,1.73,2.39,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,99.2,2.343,1.59,2.19,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,99.3,2.346,1.6,2.2,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,99.5,2.349,1.69,2.33,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,99.8,2.355,1.42,1.95,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,99.9,2.358,1.42,1.95,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,100.1,2.361,1.32,1.81,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
ODP0747,,2.364,0.84,0.9,Cibicidoides wuellerstorfi,1700,BillupsSchrag02
DSDP607,100.2,2.364,1.25,1.71,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,100.4,2.367,1.45,1.99,Cibicidoides wuellerstorfi,3405,SosdianRosenthal09
DSDP607,100.5,2.37,1.59,2.19,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,100.7,2.374,1.66,2.29,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,100.9,2.377,1.6,2.2,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101,2.38,1.57,2.16,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101.1,2.384,1.6,2.2,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101.3,2.387,1.63,2.25,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101.4,2.39,1.42,1.95,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101.6,2.393,1.52,2.09,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,101.7,2.395,1.57,2.16,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,103.3,2.424,1.47,2.02,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,103.4,2.427,1.7,2.34,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,103.6,2.429,1.24,1.7,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,103.7,2.432,1.33,1.83,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,103.9,2.434,1.53,2.11,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104,2.437,1.39,1.91,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104.2,2.44,1.19,1.63,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104.3,2.443,1.25,1.71,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104.5,2.446,1.4,1.92,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104.6,2.449,1.19,1.63,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,104.8,2.451,1.31,1.8,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
ODP1088,22.84,2.454,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,104.9,2.455,1.73,2.39,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,105.4,2.466,1.54,2.12,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,105.5,2.47,1.62,2.23,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
ODP0806,57.66,2.472,1.33,1.68,Cibicidoides wuellerstorfi,2556,LearRosenthalWright03
ODP0806,57.66,2.472,1.45,1.5,Oridorsalis umbonatus,2556,LearRosenthalWright03
DSDP607,105.7,2.474,1.85,2.55,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,105.8,2.477,1.35,1.85,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,106,2.48,1.36,1.87,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,106.1,2.483,1.85,2.55,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,106.3,2.486,1.28,1.76,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,106.4,2.489,1.46,2.01,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,106.6,2.492,1.46,2.01,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,107.3,2.508,1.92,2.65,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,107.5,2.513,1.29,1.77,Cibicidoides wuellerstorfi,3404,SosdianRosenthal09
DSDP607,107.6,2.516,1.35,1.85,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,107.8,2.52,1.26,1.73,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
ODP1088,23.59,2.522,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,107.9,2.523,1.34,1.84,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.1,2.526,1.36,1.87,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.3,2.53,1.36,1.87,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.4,2.533,1.35,1.85,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.5,2.538,1.57,2.16,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.7,2.543,1.76,2.43,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,108.8,2.547,1.75,2.41,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,109.1,2.557,1.66,2.29,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,109.3,2.561,1.34,1.84,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,109.5,2.565,1.61,2.22,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,109.6,2.568,1.71,2.36,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110,2.576,1.68,2.32,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110.2,2.579,1.43,1.97,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110.3,2.582,1.73,2.39,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110.5,2.585,1.6,2.2,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110.6,2.588,1.81,2.5,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,110.8,2.591,1.62,2.23,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
ODP0926,77.17,2.593,1.31,1.85,Cibicidoides wuellerstorfi,3625,LearRosenthalWright03
ODP0926,77.17,2.593,1.65,1.84,Oridorsalis umbonatus,3625,LearRosenthalWright03
DSDP607,110.9,2.593,1.77,2.44,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,111.1,2.596,1.59,2.19,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,111.4,2.602,1.5,2.06,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
ODP0747,,2.609,1.29,1.53,Cibicidoides wuellerstorfi,1701,BillupsSchrag02
DSDP607,111.8,2.609,1.43,1.97,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,111.9,2.612,1.82,2.51,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
DSDP607,112,2.616,1.45,1.99,Cibicidoides wuellerstorfi,3403,SosdianRosenthal09
ODP1088,24.5,2.653,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,113.9,2.666,1.43,1.97,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,114.4,2.68,1.41,1.94,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,114.6,2.684,1.48,2.04,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,114.9,2.689,1.6,2.2,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,115.3,2.696,1.47,2.02,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,115.4,2.698,1.38,1.9,Cibicidoides wuellerstorfi,3402,SosdianRosenthal09
DSDP607,115.5,2.701,1.25,1.71,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,115.7,2.704,1.22,1.67,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
ODP1088,24.84,2.71,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,116.1,2.713,1.38,1.9,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.2,2.716,1.32,1.81,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.3,2.719,1.35,1.85,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.5,2.721,1.51,2.08,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.6,2.725,1.76,2.43,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.7,2.728,1.93,2.67,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,116.8,2.732,2.04,2.82,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,117,2.737,2.04,2.82,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,117.1,2.739,1.8,2.48,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,117.2,2.745,1.81,2.5,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
DSDP607,117.4,2.751,1.93,2.67,Cibicidoides wuellerstorfi,3401,SosdianRosenthal09
ODP0806,64.27,2.757,1.58,1.63,Oridorsalis umbonatus,2560,LearRosenthalWright03
ODP0806,64.27,2.757,1.31,1.66,Cibicidoides wuellerstorfi,2560,LearRosenthalWright03
DSDP607,117.9,2.771,1.78,2.46,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118,2.775,1.66,2.29,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118.2,2.777,1.87,2.58,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
ODP1088,25.24,2.778,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,118.3,2.78,1.61,2.22,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118.4,2.783,1.48,2.04,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118.6,2.786,1.51,2.08,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118.7,2.789,1.46,2.01,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,118.8,2.792,1.58,2.18,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,119,2.796,1.81,2.5,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,119.4,2.804,1.74,2.4,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
ODP0926,86.62,2.805,1.5,1.68,Oridorsalis umbonatus,3629,LearRosenthalWright03
ODP0926,86.62,2.805,1.35,1.9,Cibicidoides wuellerstorfi,3629,LearRosenthalWright03
DSDP607,119.6,2.806,1.73,2.39,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,120,2.818,2.1,2.9,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
DSDP607,120.2,2.821,1.69,2.33,Cibicidoides wuellerstorfi,3400,SosdianRosenthal09
ODP1088,25.59,2.834,1.92,2.45,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,121,2.846,1.49,2.05,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
ODP0747,,2.852,1.28,1.51,Cibicidoides wuellerstorfi,1701,BillupsSchrag02
DSDP607,121.5,2.86,1.54,2.12,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,121.6,2.864,1.56,2.15,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,121.8,2.868,1.49,2.05,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,121.9,2.871,1.96,2.71,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,122.1,2.874,1.75,2.41,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,122.2,2.878,1.55,2.13,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,123.1,2.895,1.57,2.16,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,123.3,2.898,1.61,2.22,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,123.5,2.902,2.03,2.81,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,123.7,2.906,1.75,2.41,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,123.8,2.909,1.85,2.55,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
ODP1088,26.34,2.918,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,124.2,2.919,1.6,2.2,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,124.4,2.924,1.61,2.22,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,124.5,2.927,1.58,2.18,Cibicidoides wuellerstorfi,3399,SosdianRosenthal09
DSDP607,124.7,2.932,1.69,2.33,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,124.8,2.935,1.62,2.23,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125,2.938,1.82,2.51,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.1,2.941,1.59,2.19,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.2,2.944,1.98,2.74,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.4,2.947,1.89,2.61,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.5,2.95,2.15,2.97,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.7,2.953,2.14,2.96,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.8,2.954,1.97,2.72,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,125.9,2.957,1.93,2.67,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,126.2,2.963,2.12,2.93,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
ODP1088,26.74,2.963,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,126.5,2.97,1.9,2.62,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,126.6,2.974,1.81,2.5,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,126.8,2.977,1.9,2.62,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127,2.982,1.65,2.27,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127.1,2.986,1.94,2.68,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127.3,2.989,1.86,2.57,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127.4,2.992,1.89,2.61,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127.6,2.997,1.69,2.33,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,127.8,3.001,1.79,2.47,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
ODP1088,27.09,3.002,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,127.9,3.004,1.92,2.65,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,128.1,3.009,1.75,2.41,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,128.3,3.014,1.63,2.25,Cibicidoides wuellerstorfi,3398,SosdianRosenthal09
DSDP607,128.5,3.023,1.56,2.15,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,128.7,3.026,1.68,2.32,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,128.8,3.03,1.81,2.5,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
ODP0757,18.2,3.032,2.05,2.28,Cibicidoides wuellerstorfi/Cibicidoides mundulus,1612,BillupsSchrag03
DSDP607,129,3.034,2.17,3,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.1,3.038,1.72,2.37,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.3,3.043,1.86,2.57,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.5,3.046,1.63,2.25,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.6,3.05,1.69,2.33,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.8,3.054,1.73,2.39,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,129.9,3.056,2.01,2.78,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,130.1,3.06,1.71,2.36,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,130.2,3.063,1.69,2.33,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,130.4,3.066,1.85,2.55,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,130.5,3.07,1.91,2.64,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
ODP0926,95.59,3.072,1.26,1.77,Cibicidoides wuellerstorfi,3632,LearRosenthalWright03
ODP0926,95.59,3.072,1.64,1.83,Oridorsalis umbonatus,3632,LearRosenthalWright03
DSDP607,130.7,3.074,1.75,2.41,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,130.8,3.079,1.94,2.68,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,131.1,3.086,1.97,2.72,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
ODP1088,27.84,3.086,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
DSDP607,131.3,3.089,1.93,2.67,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,131.5,3.094,1.83,2.53,Cibicidoides wuellerstorfi,3397,SosdianRosenthal09
DSDP607,131.8,3.104,1.72,2.37,Cibicidoides wuellerstorfi,3396,SosdianRosenthal09
DSDP607,131.9,3.107,2.08,2.88,Cibicidoides wuellerstorfi,3396,SosdianRosenthal09
ODP0747,,3.123,1.12,1.29,Cibicidoides wuellerstorfi,1702,BillupsSchrag02
ODP1088,28.24,3.131,,,Cibicidoides wuellerstorfi,2088,BillupsScheiderich10
ODP0806,72.96,3.132,1.52,1.95,Cibicidoides wuellerstorfi,2565,LearRosenthalWright03
ODP0806,72.96,3.132,1.71,1.76,Oridorsalis umbonatus,2565,LearRosenthalWright03
ODP1088,28.34,3.142,1.66,2.09,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,28.34,3.142,1.42,1.75,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
DSDP607,132.9,3.145,1.71,2.36,Cibicidoides wuellerstorfi,3395,SosdianRosenthal09
DSDP607,133,3.147,2.03,2.8,Cibicidoides wuellerstorfi,3395,SosdianRosenthal09
DSDP607,133.1,3.15,2.09,2.89,Cibicidoides wuellerstorfi,3395,SosdianRosenthal09
ODP1088,28.44,3.153,1.65,2.07,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
DSDP607,133.4,3.154,2.1,2.9,Cibicidoides wuellerstorfi,3395,SosdianRosenthal09
DSDP607,133.5,3.157,1.81,2.5,Cibicidoides wuellerstorfi,3395,SosdianRosenthal09
ODP1088,28.59,3.17,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,28.64,3.175,1.59,1.99,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,28.74,3.186,1.45,1.79,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,28.93,3.208,2.2,2.84,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,29.04,3.22,1.87,2.38,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,29.14,3.231,1.63,2.05,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,29.34,3.253,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,29.74,3.298,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,30.09,3.337,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP0926,105.13,3.365,1.62,1.81,Oridorsalis umbonatus,3636,LearRosenthalWright03
ODP0926,105.13,3.365,1.25,1.76,Cibicidoides wuellerstorfi,3636,LearRosenthalWright03
ODP1088,30.43,3.375,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP0747,,3.381,1.07,1.22,Cibicidoides wuellerstorfi,1702,BillupsSchrag02
ODP1088,30.54,3.387,1.6,2,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,30.74,3.41,1.78,2.26,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,30.84,3.421,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP0806,79.68,3.439,1.33,1.68,Cibicidoides wuellerstorfi,2569,LearRosenthalWright03
ODP0806,79.68,3.439,1.53,1.58,Oridorsalis umbonatus,2569,LearRosenthalWright03
ODP1088,31.04,3.443,1.84,2.34,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.04,3.443,1.29,1.57,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.04,3.443,1.67,2.1,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.14,3.454,1.36,1.67,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP0926,108.13,3.458,1.71,1.9,Oridorsalis umbonatus,3637,LearRosenthalWright03
ODP0926,108.13,3.458,1.25,1.76,Cibicidoides wuellerstorfi,3637,LearRosenthalWright03
ODP1088,31.24,3.466,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.34,3.477,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.54,3.499,1.75,2.21,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.54,3.499,1.64,2.06,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.59,3.505,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.64,3.51,1.8,2.28,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.74,3.521,1.97,2.52,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.93,3.543,1.52,1.89,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,31.93,3.543,1.44,1.78,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,32.34,3.589,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,32.74,3.633,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP1088,33.09,3.676,,,Cibicidoides wuellerstorfi,2089,BillupsScheiderich10
ODP0806,86.2,3.72,1.39,1.77,Cibicidoides wuellerstorfi,2573,LearRosenthalWright03
ODP0806,86.2,3.72,1.73,1.78,Oridorsalis umbonatus,2573,LearRosenthalWright03
ODP0926,116.44,3.726,1.34,1.89,Cibicidoides wuellerstorfi,3639,LearRosenthalWright03
ODP0926,116.44,3.726,1.47,1.66,Oridorsalis umbonatus,3639,LearRosenthalWright03
ODP0747,,3.77,1.76,2.19,Cibicidoides wuellerstorfi,1703,BillupsSchrag02
ODP0757,23.4,3.773,2.03,2.55,Cibicidoides wuellerstorfi,1603,BillupsSchrag03
ODP0757,23.4,3.773,1.92,2.4,Cibicidoides wuellerstorfi,1603,BillupsSchrag03
ODP1088,33.84,3.784,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0806,101.66,3.792,1.57,1.62,Oridorsalis umbonatus,2583,LearRosenthalWright03
ODP0806,101.66,3.792,1.45,1.85,Cibicidoides wuellerstorfi,2583,LearRosenthalWright03
ODP1088,34,3.807,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0757,24,3.832,2.2,2.79,Cibicidoides wuellerstorfi,1602,BillupsSchrag03
ODP0757,24,3.832,2.12,2.68,Cibicidoides wuellerstorfi,1602,BillupsSchrag03
ODP1088,34.59,3.892,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0806,108.16,3.954,1.73,1.78,Oridorsalis umbonatus,2588,LearRosenthalWright03
ODP0806,108.16,3.954,1.39,1.77,Cibicidoides wuellerstorfi,2588,LearRosenthalWright03
ODP1088,35.09,3.964,1.9,2.42,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0806,92.66,3.992,1.5,1.92,Cibicidoides wuellerstorfi,2577,LearRosenthalWright03
ODP0806,92.66,3.992,1.69,1.74,Oridorsalis umbonatus,2577,LearRosenthalWright03
ODP0926,125.73,4.014,1.57,1.76,Oridorsalis umbonatus,3643,LearRosenthalWright03
ODP0926,125.73,4.014,1.27,1.79,Cibicidoides wuellerstorfi,3643,LearRosenthalWright03
ODP1088,35.54,4.028,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0747,,4.035,1.66,2.05,Cibicidoides wuellerstorfi,1703,BillupsSchrag02
ODP1088,35.64,4.043,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,35.65,4.044,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,35.74,4.057,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,35.84,4.071,2.07,2.66,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,35.94,4.086,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,36.04,4.1,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,36.24,4.129,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,36.59,4.179,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,36.84,4.215,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,37.14,4.258,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0806,120.56,4.26,1.49,1.91,Cibicidoides wuellerstorfi,2595,LearRosenthalWright03
ODP0806,120.56,4.26,1.82,1.87,Oridorsalis umbonatus,2595,LearRosenthalWright03
DSDP573,57,4.262,0.68,1.72,Nuttallides umbonifera,4224,LearElderfieldOthers00
DSDP573,57,4.262,0.5,1.52,Nuttallides umbonifera,4224,LearElderfieldOthers00
ODP1088,37.23,4.271,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP1088,37.34,4.287,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0757,28.5,4.29,2.42,2.72,Cibicidoides wuellerstorfi/Cibicidoides mundulus,1597,BillupsSchrag03
ODP1088,37.44,4.302,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
ODP0747,,4.311,1.57,1.92,Cibicidoides wuellerstorfi,1704,BillupsSchrag02
ODP1088,37.54,4.316,,,Cibicidoides wuellerstorfi,2090,BillupsScheiderich10
